Date,Open,High,Low,Close,Adj Close,Volume
2020-08-20,50.040001,50.570000,49.750000,49.939999,49.427174,1923100
2020-08-21,49.939999,50.259998,48.919998,49.570000,49.060978,2215300
2020-08-24,49.919998,52.470001,49.830002,52.389999,51.852020,2580600
2020-08-25,53.000000,53.419998,51.480000,52.220001,51.683765,2119400
2020-08-26,52.110001,52.630001,51.259998,51.529999,51.000847,2946300
2020-08-27,51.700001,54.250000,51.360001,53.709999,53.158463,3843300
2020-08-28,54.070000,54.389999,53.240002,54.250000,53.692917,2253800
2020-08-31,54.259998,54.259998,53.060001,53.080002,52.534931,3310300
2020-09-01,52.430000,53.599998,52.110001,52.970001,52.426064,1649400
2020-09-02,52.939999,53.919998,52.560001,53.680000,53.128773,1826500
2020-09-03,54.220001,55.990002,54.009998,55.419998,54.850903,5154300
2020-09-04,56.259998,59.230000,56.209999,57.119999,56.533447,5363400
2020-09-08,56.150002,57.189999,54.959999,55.110001,54.544090,3531400
2020-09-09,55.720001,55.720001,54.220001,55.040001,54.474804,1933400
2020-09-10,55.509998,56.939999,53.889999,54.070000,53.514763,1984200
2020-09-11,54.279999,55.029999,53.990002,54.740002,54.177887,2275100
2020-09-14,55.580002,58.639999,55.470001,57.990002,57.394516,3468800
2020-09-15,58.110001,59.540001,56.860001,57.049999,56.464165,3556900
2020-09-16,57.230000,60.450001,56.680000,59.220001,58.611885,4180600
2020-09-17,58.299999,60.099998,57.910000,59.540001,58.928596,4110100
2020-09-18,59.330002,60.209999,58.549999,59.029999,58.423832,4608500
2020-09-21,56.439999,57.090000,54.610001,55.020000,54.455009,4310600
2020-09-22,54.689999,55.320000,52.779999,54.520000,53.960144,4955000
2020-09-23,54.790001,56.029999,53.150002,53.230000,52.683392,2119800
2020-09-24,53.080002,54.189999,51.740002,53.139999,52.594318,1687300
2020-09-25,52.660000,54.509998,52.610001,54.130001,53.574154,1607300
2020-09-28,55.790001,57.279999,55.470001,56.459999,55.880222,3821900
2020-09-29,56.259998,57.029999,55.250000,55.639999,55.068645,2283700
2020-09-30,56.099998,58.630001,56.099998,57.779999,57.186668,4271200
2020-10-01,57.630001,58.930000,57.240002,58.910000,58.305065,2721000
2020-10-02,57.560001,61.110001,56.939999,60.919998,60.294426,3307700
2020-10-05,62.099998,63.599998,61.130001,63.169998,62.521320,2791000
2020-10-06,63.910000,64.370003,60.419998,61.099998,60.472572,3266500
2020-10-07,62.290001,64.080002,62.290001,63.720001,63.065674,2733600
2020-10-08,64.349998,65.949997,63.490002,65.410004,64.738327,2931300
2020-10-09,66.199997,66.330002,64.389999,64.889999,64.223656,2097300
2020-10-12,65.000000,65.290001,64.129997,64.629997,63.966324,1829000
2020-10-13,63.720001,64.910004,63.369999,64.129997,63.471462,1909900
2020-10-14,64.419998,65.459999,64.029999,64.330002,63.669411,1661100
2020-10-15,63.430000,64.830002,62.310001,64.589996,63.926735,2225600
2020-10-16,65.000000,66.239998,64.519997,65.480003,64.807602,2332800
2020-10-19,65.500000,65.870003,63.290001,63.560001,62.907314,2009100
2020-10-20,64.290001,64.639999,62.790001,63.000000,62.353065,2369400
2020-10-21,62.869999,63.040001,60.419998,60.599998,59.977707,4484000
2020-10-22,65.360001,67.120003,63.860001,66.160004,65.480621,6868700
2020-10-23,67.080002,68.669998,66.370003,68.000000,67.301720,4502700
2020-10-26,66.570000,67.000000,64.900002,65.879997,65.203491,4362600
2020-10-27,65.629997,66.410004,65.059998,65.260002,64.589859,3804400
2020-10-28,63.040001,64.220001,62.270000,62.529999,61.887890,3307600
2020-10-29,61.889999,64.349998,61.599998,64.010002,63.352695,2214000
2020-10-30,63.430000,65.110001,62.639999,65.010002,64.342430,3631700
2020-11-02,65.860001,67.570000,65.459999,67.209999,66.519829,3432800
2020-11-03,68.690002,69.940002,68.239998,69.360001,68.647758,2602100
2020-11-04,67.430000,69.790001,65.320000,67.870003,67.173065,3086500
2020-11-05,68.660004,69.809998,68.339996,68.500000,67.796585,2886200
2020-11-06,68.930000,69.080002,67.379997,67.910004,67.212654,1813100
2020-11-09,75.000000,78.790001,74.639999,76.190002,75.407623,5127000
2020-11-10,76.489998,78.599998,75.849998,76.339996,75.556076,3321300
2020-11-11,76.139999,76.529999,72.570000,74.250000,73.487541,3033800
2020-11-12,73.000000,74.190002,72.669998,73.389999,72.636375,2804800
2020-11-13,73.849998,77.000000,73.570000,76.610001,75.823311,1690200
2020-11-16,79.000000,79.519997,76.930000,77.769997,76.971390,2210800
2020-11-17,76.519997,77.440002,74.449997,77.099998,76.308281,3490000
2020-11-18,77.110001,79.180000,76.019997,76.080002,75.730934,3408500
2020-11-19,74.940002,77.099998,74.000000,76.760002,76.407814,2325700
2020-11-20,76.320000,76.470001,74.779999,74.800003,74.456810,1737900
2020-11-23,76.279999,78.489998,75.879997,78.120003,77.761581,1824300
2020-11-24,79.989998,81.739998,79.849998,81.599998,81.225609,3118100
2020-11-25,80.300003,80.550003,78.699997,79.290001,78.926208,3247100
2020-11-27,78.699997,79.239998,78.360001,78.870003,78.508141,1037700
2020-11-30,77.860001,79.129997,76.000000,76.169998,75.820518,3551200
2020-12-01,78.330002,81.000000,78.209999,80.150002,79.782265,2958300
2020-12-02,79.330002,82.500000,79.269997,81.690002,81.315201,2439200
2020-12-03,81.699997,82.629997,80.059998,80.839996,80.469093,2610800
2020-12-04,81.879997,82.790001,81.000000,82.699997,82.320557,2076100
2020-12-07,82.209999,82.919998,81.320000,82.449997,82.071709,2253700
2020-12-08,81.239998,82.699997,81.199997,81.949997,81.573997,2098000
2020-12-09,82.879997,83.400002,82.120003,83.190002,82.808319,2174100
2020-12-10,81.989998,84.410004,81.040001,84.160004,83.773865,3327700
2020-12-11,82.639999,84.010002,81.940002,83.459999,83.077072,4025900
2020-12-14,84.830002,85.080002,82.050003,82.629997,82.250877,3313000
2020-12-15,83.660004,85.419998,81.930000,85.360001,84.968361,2140100
2020-12-16,85.260002,86.529999,83.919998,86.349998,85.953812,2335300
2020-12-17,86.570000,87.589996,85.889999,87.480003,87.078636,2375200
2020-12-18,87.379997,88.199997,84.949997,85.989998,85.595467,5843500
2020-12-21,86.269997,88.129997,85.209999,87.029999,86.630692,3128900
2020-12-22,86.989998,87.650002,86.220001,86.839996,86.441566,2057900
2020-12-23,87.290001,88.919998,87.150002,88.370003,87.964546,1569500
2020-12-24,88.610001,88.800003,87.419998,88.290001,87.884918,592600
2020-12-28,88.849998,90.080002,88.250000,88.290001,87.884918,1186400
2020-12-29,88.620003,88.699997,86.790001,88.019997,87.616150,1044600
